time[s],m_in
560,4.49742142670149e-06
561,4.50524604403259e-06
562,4.51306993791666e-06
563,4.52089310842068e-06
564,4.52871555561162e-06
565,4.53653727955645e-06
566,4.5443582803221e-06
567,4.55217855797555e-06
568,4.55999811258369e-06
569,4.56781694421348e-06
570,4.57563505293187e-06
571,4.58345243880575e-06
572,4.59126910190202e-06
573,4.59908504228763e-06
574,4.60690026002949e-06
575,4.61471475519445e-06
576,4.62252852784941e-06
577,4.6303415780613e-06
578,4.63815390589695e-06
579,4.64596551142323e-06
580,4.65377639470706e-06
581,4.66158655581524e-06
582,4.66939599481466e-06
583,4.67720471177214e-06
584,4.68501270675454e-06
585,4.69281997982869e-06
586,4.70062653106142e-06
587,4.70843236051955e-06
588,4.71623746826992e-06
589,4.72404185437928e-06
590,4.73184551891448e-06
591,4.73964846194232e-06
592,4.74745068352957e-06
593,4.75525218374302e-06
594,4.76305296264947e-06
595,4.77085302031566e-06
596,4.77865235680838e-06
597,4.7864509721944e-06
598,4.79424886654044e-06
599,4.80204603991327e-06
600,4.80984249237964e-06
601,4.81763822400627e-06
602,4.82543323485988e-06
603,4.83322752500722e-06
604,4.84102109451501e-06
605,4.84881394344993e-06
606,4.8566060718787e-06
607,4.86439747986804e-06
608,4.87218816748461e-06
609,4.87997813479508e-06
610,4.88776738186621e-06
611,4.89555590876459e-06
612,4.90334371555693e-06
613,4.91113080230989e-06
614,4.91891716909012e-06
615,4.92670281596427e-06
616,4.93448774299895e-06
617,4.94227195026086e-06
618,4.95005543781661e-06
619,4.95783820573277e-06
620,4.96562025407603e-06
621,4.97340158291298e-06
622,4.98118219231022e-06
623,4.98896208233434e-06
624,4.99674125305196e-06
625,5.00451970452964e-06
626,5.01229743683398e-06
627,5.02007445003156e-06
628,5.0278507441889e-06
629,5.03562631937262e-06
630,5.04340117564929e-06
631,5.05117531308542e-06
632,5.05894873174755e-06
633,5.06672143170222e-06
634,5.07449341301599e-06
635,5.08226467575537e-06
636,5.0900352199869e-06
637,5.09780504577704e-06
638,5.10557415319237e-06
639,5.11334254229931e-06
640,5.12111021316441e-06
641,5.12887716585416e-06
642,5.13664340043502e-06
643,5.1444089169735e-06
644,5.15217371553604e-06
645,5.15993779618913e-06
646,5.16770115899917e-06
647,5.17546380403269e-06
648,5.18322573135608e-06
649,5.19098694103581e-06
650,5.19874743313828e-06
651,5.20650720772996e-06
652,5.21426626487726e-06
653,5.22202460464658e-06
654,5.22978222710433e-06
655,5.23753913231692e-06
656,5.24529532035075e-06
657,5.25305079127222e-06
658,5.26080554514769e-06
659,5.26855958204355e-06
660,5.27631290202618e-06
661,5.28406550516193e-06
662,5.29181739151718e-06
663,5.29956856115825e-06
664,5.30731901415155e-06
665,5.31506875056334e-06
666,5.32281777046001e-06
667,5.33056607390789e-06
668,5.33831366097328e-06
669,5.34606053172249e-06
670,5.35380668622188e-06
671,5.36155212453773e-06
672,5.36929684673628e-06
673,5.3770408528839e-06
674,5.38478414304686e-06
675,5.39252671729143e-06
676,5.40026857568386e-06
677,5.40800971829045e-06
